year,month,category,tags,name2,date,img,desc,event
2010,January,Arts_Culture,6, Jay Leno,1/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Jay_Leno_2019.jpg/183px-Jay_Leno_2019.jpg,American stand-up comedian and television host,
2010,January,Business_Tech,14, Conan O'Brien,1/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Conan_O%27Brien_by_Gage_Skidmore_2.jpg/189px-Conan_O%27Brien_by_Gage_Skidmore_2.jpg,American television show host and comedian,
2010,January,OpEd_Opinion,14, Umar Farouk Abdulmutallab,1/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/UmarFarouk.jpg/178px-UmarFarouk.jpg,Nigerian attempted bomber,
2010,January,World,15, Hillary Rodham Clinton,1/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Hillary_Clinton_by_Gage_Skidmore_2.jpg/168px-Hillary_Clinton_by_Gage_Skidmore_2.jpg,"American politician, senator, Secretary of State, First Lady",
2010,February,Arts_Culture,4, William Kentridge,2/1/10,https://www.editioncopenhagen.com/files/artists1/artists1_portraits/wkportrait.jpg,South African artist,
2010,February,Business_Tech,8, Akio Toyoda,2/1/10,http://www.espn.com/photo/2012/0225/rpm_g_toyoda_400.jpg,"Japanese businessman, President and CEO of Toyota",
2010,February,OpEd_Opinion,13, David A Paterson,2/1/10,"https://images.gawker.com/17irqucntpf4pjpg/c_scale,fl_progressive,q_80,w_800.jpg",55th Governor of New York,
2010,February,World,15, Viktor F Yanukovich,2/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Viktor_Yanukovych_%26_Yukiya_Amano_%2801910428%29_%2810992648186%29_%28cropped%29.jpg/188px-Viktor_Yanukovych_%26_Yukiya_Amano_%2801910428%29_%2810992648186%29_%28cropped%29.jpg,Ukrainian politician who was the President of Ukraine,
2010,March,Arts_Culture,5, Marina Abramovic,3/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Marina_Abramovi%C4%87._The_Cleaner_%2845524492341%29.jpg/201px-Marina_Abramovi%C4%87._The_Cleaner_%2845524492341%29.jpg,Yugoslav-American artist,
2010,March,Business_Tech,15, Christopher J Dodd,3/1/10,https://www.congress.gov/img/member/111dodd_d_ct_200.jpg,American lawyer and U.S. Senator from Connecticut,
2010,March,OpEd_Opinion,9, David A Paterson,3/1/10,"https://images.gawker.com/17irqucntpf4pjpg/c_scale,fl_progressive,q_80,w_800.jpg",55th Governor of New York,
2010,March,World,21,Benedict XVI ,3/1/10,https://images.squarespace-cdn.com/content/v1/569543b4bfe87360795306d6/1453323630078-A5INT39E4FODHII9FJOM/ke17ZwdGBToddI8pDm48kKu-TgCiLrBJgnwyhQ4oXFhZw-zPPgdn4jUwVcJE1ZvWhcwhEtWJXoshNdA9f1qD7Xj1nVWs2aaTtWBneO2WM-s_FJoFDrn-1tx_wgwocMnxEHYJgLCtywwixB-0uAreww/image-asset.jpeg?format=500w,265th Pope of the Catholic Church,Pope  addresses cases of sexual abuse by Catholic priests to minors
