"year","month","date","Arts_Culture","Business_Tech","OpEd_Opinion","World"
2010,"January",2010-01-01," jay leno"," conan o'brien"," umar farouk abdulmutallab"," hillary rodham clinton"
2010,"February",2010-02-01," william kentridge"," akio toyoda"," david a paterson"," viktor f yanukovich"
2010,"March",2010-03-01," marina abramovic"," christopher j dodd"," david a paterson","benedict xvi "
2010,"April",2010-04-01," james levine"," lloyd c blankfein","benedict xvi ","benedict xvi "
2010,"May",2010-05-01," carol vogel"," jeanclaude trichet"," elena kagan"," david cameron"
2010,"June",2010-06-01," alan gilbert"," ben s bernanke"," stanley a mcchrystal"," hamid karzai"
2010,"July",2010-07-01," henri matisse"," robert dudley"," elena kagan"," nicolas sarkozy"
2010,"August",2010-08-01," alexei ratmansky"," mark v hurd"," george w bush"," benjamin netanyahu"
2010,"September",2010-09-01," robert lepage"," mark v hurd"," carl p paladino"," benjamin netanyahu"
2010,"October",2010-10-01," valery gergiev"," ben s bernanke"," carl p paladino"," benjamin netanyahu"
2010,"November",2010-11-01," annesophie mutter"," ben s bernanke"," abraham lincoln"," daw aung san suu kyi"
2010,"December",2010-12-01," david wojnarowicz"," bernard l madoff"," abraham lincoln"," laurent gbagbo"
2011,"January",2011-01-01," colin firth"," steven p jobs"," gabrielle giffords"," hosni mubarak"
2011,"February",2011-02-01," james franco"," bernard l madoff"," hosni mubarak"," hosni mubarak"
2011,"March",2011-03-01," james levine"," steven p jobs"," muammar el qaddafi"," muammar el qaddafi"
2011,"April",2011-04-01,"ai weiwei "," ben s bernanke"," paul d jr ryan"," muammar el qaddafi"
2011,"May",2011-05-01,"lady gaga "," dominique strausskahn"," osama bin laden"," osama bin laden"
2011,"June",2011-06-01,"lady gaga "," christine lagarde"," andrew m cuomo"," muammar el qaddafi"
2011,"July",2011-07-01," amy winehouse"," rupert murdoch"," john a boehner"," rupert murdoch"
2011,"August",2011-08-01," kanye west"," steven p jobs"," rick perry"," muammar el qaddafi"
2011,"September",2011-09-01," james levine"," angela merkel"," rick perry"," muammar el qaddafi"
2011,"October",2011-10-01,"adele  "," steven p jobs"," mitt romney"," muammar el qaddafi"
2011,"November",2011-11-01,"adele  "," michael c woodford"," herman cain"," bashar al assad"
2011,"December",2011-12-01," steven spielberg"," jed s rakoff"," newt gingrich"," vladimir v putin"
2012,"January",2012-01-01," george clooney"," angela merkel"," mitt romney"," bashar al assad"
2012,"February",2012-02-01," whitney houston"," mark e zuckerberg"," mitt romney"," bashar al assad"
2012,"March",2012-03-01," paul taylor"," ben s bernanke"," mitt romney"," bashar al assad"
2012,"April",2012-04-01," william shakespeare"," christine lagarde"," mitt romney","bo xilai "
2012,"May",2012-05-01," donna summer"," mark e zuckerberg"," mitt romney"," francois hollande"
2012,"June",2012-06-01," charlie sheen"," angela merkel"," mitt romney"," bashar al assad"
2012,"July",2012-07-01," frank ocean"," marissa mayer"," mitt romney"," bashar al assad"
2012,"August",2012-08-01," marvin hamlisch"," angela merkel"," mitt romney"," bashar al assad"
2012,"September",2012-09-01," philip glass"," mitt romney"," mitt romney"," j christopher stevens"
2012,"October",2012-10-01," pablo picasso"," mitt romney"," mitt romney"," bashar al assad"
2012,"November",2012-11-01," david carr"," angela merkel"," mitt romney","xi jinping "
2012,"December",2012-12-01," bruce springsteen"," ben s bernanke"," john a boehner"," bashar al assad"
2013,"January",2013-01-01," kathryn bigelow"," aaron  swartz"," john a boehner"," bashar al assad"
2013,"February",2013-02-01," steven spielberg"," ben s bernanke","benedict xvi ","benedict xvi "
2013,"March",2013-03-01," david carr"," andrew mason","francis "," bashar al assad"
2013,"April",2013-04-01," david carr"," christine lagarde"," margaret h thatcher"," bashar al assad"
