"year","month","category","tags","name2","date"
2010,"January","Arts_Culture",6," jay leno",2010-01-01
2010,"January","Business_Tech",28," barack obama",2010-01-01
2010,"January","OpEd_Opinion",83," barack obama",2010-01-01
2010,"January","World",17," barack obama",2010-01-01
2010,"February","Arts_Culture",4," william kentridge",2010-02-01
2010,"February","Business_Tech",17," barack obama",2010-02-01
2010,"February","OpEd_Opinion",51," barack obama",2010-02-01
2010,"February","World",15," barack obama",2010-02-01
2010,"March","Arts_Culture",5," marina abramovic",2010-03-01
2010,"March","Business_Tech",17," barack obama",2010-03-01
2010,"March","OpEd_Opinion",70," barack obama",2010-03-01
2010,"March","World",32," barack obama",2010-03-01
2010,"April","Arts_Culture",7," james levine",2010-04-01
2010,"April","Business_Tech",17," barack obama",2010-04-01
2010,"April","OpEd_Opinion",65," barack obama",2010-04-01
2010,"April","World",33," barack obama",2010-04-01
2010,"May","Arts_Culture",6," carol vogel",2010-05-01
2010,"May","Business_Tech",10," barack obama",2010-05-01
2010,"May","OpEd_Opinion",48," barack obama",2010-05-01
2010,"May","World",19," barack obama",2010-05-01
2010,"June","Arts_Culture",5," alan gilbert",2010-06-01
2010,"June","Business_Tech",17," barack obama",2010-06-01
2010,"June","OpEd_Opinion",72," barack obama",2010-06-01
2010,"June","World",23," barack obama",2010-06-01
2010,"July","Arts_Culture",4," henri matisse",2010-07-01
2010,"July","Business_Tech",12," barack obama",2010-07-01
2010,"July","OpEd_Opinion",48," barack obama",2010-07-01
2010,"July","World",18," barack obama",2010-07-01
2010,"August","Arts_Culture",3," alexei ratmansky",2010-08-01
2010,"August","Business_Tech",7," barack obama",2010-08-01
2010,"August","OpEd_Opinion",60," barack obama",2010-08-01
2010,"August","World",29," barack obama",2010-08-01
2010,"September","Arts_Culture",6," robert lepage",2010-09-01
2010,"September","Business_Tech",20," barack obama",2010-09-01
2010,"September","OpEd_Opinion",60," barack obama",2010-09-01
2010,"September","World",23," barack obama",2010-09-01
2010,"October","Arts_Culture",4," valery gergiev",2010-10-01
2010,"October","Business_Tech",9," barack obama",2010-10-01
2010,"October","OpEd_Opinion",62," barack obama",2010-10-01
2010,"October","World",18," barack obama",2010-10-01
2010,"November","Arts_Culture",3," annesophie mutter",2010-11-01
2010,"November","Business_Tech",14," ben s bernanke",2010-11-01
2010,"November","OpEd_Opinion",69," barack obama",2010-11-01
2010,"November","World",51," barack obama",2010-11-01
2010,"December","Arts_Culture",6," david wojnarowicz",2010-12-01
2010,"December","Business_Tech",5," bernard l madoff",2010-12-01
2010,"December","OpEd_Opinion",57," barack obama",2010-12-01
2010,"December","World",31," barack obama",2010-12-01
2011,"January","Arts_Culture",10," colin firth",2011-01-01
2011,"January","Business_Tech",11," barack obama",2011-01-01
2011,"January","OpEd_Opinion",71," barack obama",2011-01-01
2011,"January","World",49," hosni mubarak",2011-01-01
2011,"February","Arts_Culture",16," james franco",2011-02-01
2011,"February","Business_Tech",5," bernard l madoff",2011-02-01
2011,"February","OpEd_Opinion",52," hosni mubarak",2011-02-01
2011,"February","World",118," hosni mubarak",2011-02-01
2011,"March","Arts_Culture",9," james levine",2011-03-01
2011,"March","Business_Tech",4," barack obama",2011-03-01
2011,"March","OpEd_Opinion",50," barack obama",2011-03-01
2011,"March","World",126," muammar el qaddafi",2011-03-01
2011,"April","Arts_Culture",6,"ai weiwei ",2011-04-01
2011,"April","Business_Tech",10," barack obama",2011-04-01
2011,"April","OpEd_Opinion",59," barack obama",2011-04-01
2011,"April","World",75," muammar el qaddafi",2011-04-01
2011,"May","Arts_Culture",7,"lady gaga ",2011-05-01
2011,"May","Business_Tech",15," dominique strausskahn",2011-05-01
2011,"May","OpEd_Opinion",57," barack obama",2011-05-01
2011,"May","World",100," osama bin laden",2011-05-01
2011,"June","Arts_Culture",11,"lady gaga ",2011-06-01
2011,"June","Business_Tech",8," christine lagarde",2011-06-01
2011,"June","OpEd_Opinion",44," barack obama",2011-06-01
2011,"June","World",42," muammar el qaddafi",2011-06-01
2011,"July","Arts_Culture",8," amy winehouse",2011-07-01
2011,"July","Business_Tech",10," rupert murdoch",2011-07-01
2011,"July","OpEd_Opinion",79," barack obama",2011-07-01
2011,"July","World",53," rupert murdoch",2011-07-01
2011,"August","Arts_Culture",8," kanye west",2011-08-01
2011,"August","Business_Tech",14," steven p jobs",2011-08-01
2011,"August","OpEd_Opinion",62," barack obama",2011-08-01
2011,"August","World",79," muammar el qaddafi",2011-08-01
2011,"September","Arts_Culture",7," james levine",2011-09-01
2011,"September","Business_Tech",11," barack obama",2011-09-01
2011,"September","OpEd_Opinion",88," barack obama",2011-09-01
2011,"September","World",57," muammar el qaddafi",2011-09-01
2011,"October","Arts_Culture",7,"adele  ",2011-10-01
2011,"October","Business_Tech",33," steven p jobs",2011-10-01
2011,"October","OpEd_Opinion",47," barack obama",2011-10-01
2011,"October","World",65," muammar el qaddafi",2011-10-01
2011,"November","Arts_Culture",8,"adele  ",2011-11-01
2011,"November","Business_Tech",6," michael c woodford",2011-11-01
2011,"November","OpEd_Opinion",52," barack obama",2011-11-01
2011,"November","World",29," bashar al assad",2011-11-01
2011,"December","Arts_Culture",7," steven spielberg",2011-12-01
2011,"December","Business_Tech",6," jed s rakoff",2011-12-01
2011,"December","OpEd_Opinion",71," barack obama",2011-12-01
2011,"December","World",35," vladimir v putin",2011-12-01
2012,"January","Arts_Culture",16," george clooney",2012-01-01
2012,"January","Business_Tech",9," angela merkel",2012-01-01
2012,"January","OpEd_Opinion",88," barack obama",2012-01-01
2012,"January","World",25," bashar al assad",2012-01-01
2012,"February","Arts_Culture",17," whitney houston",2012-02-01
2012,"February","Business_Tech",13," barack obama",2012-02-01
2012,"February","OpEd_Opinion",68," barack obama",2012-02-01
2012,"February","World",43," bashar al assad",2012-02-01
2012,"March","Arts_Culture",5," paul taylor",2012-03-01
2012,"March","Business_Tech",9," ben s bernanke",2012-03-01
2012,"March","OpEd_Opinion",54," barack obama",2012-03-01
2012,"March","World",30," bashar al assad",2012-03-01
2012,"April","Arts_Culture",5," william shakespeare",2012-04-01
2012,"April","Business_Tech",6," christine lagarde",2012-04-01
2012,"April","OpEd_Opinion",52," barack obama",2012-04-01
2012,"April","World",24,"bo xilai ",2012-04-01
2012,"May","Arts_Culture",6," donna summer",2012-05-01
2012,"May","Business_Tech",16," mark e zuckerberg",2012-05-01
2012,"May","OpEd_Opinion",79," barack obama",2012-05-01
2012,"May","World",32," barack obama",2012-05-01
2012,"June","Arts_Culture",7," a o scott",2012-06-01
2012,"June","Business_Tech",6," angela merkel",2012-06-01
2012,"June","OpEd_Opinion",73," barack obama",2012-06-01
2012,"June","World",40," bashar al assad",2012-06-01
2012,"July","Arts_Culture",7," frank ocean",2012-07-01
2012,"July","Business_Tech",8," marissa mayer",2012-07-01
2012,"July","OpEd_Opinion",68," mitt romney",2012-07-01
2012,"July","World",46," bashar al assad",2012-07-01
2012,"August","Arts_Culture",6," marvin hamlisch",2012-08-01
2012,"August","Business_Tech",7," angela merkel",2012-08-01
2012,"August","OpEd_Opinion",110," mitt romney",2012-08-01
2012,"August","World",33," bashar al assad",2012-08-01
2012,"September","Arts_Culture",8," philip glass",2012-09-01
2012,"September","Business_Tech",7," barack obama",2012-09-01
2012,"September","OpEd_Opinion",99," mitt romney",2012-09-01
2012,"September","World",28," barack obama",2012-09-01
2012,"October","Arts_Culture",10," pablo picasso",2012-10-01
2012,"October","Business_Tech",12," mitt romney",2012-10-01
2012,"October","OpEd_Opinion",143," mitt romney",2012-10-01
2012,"October","World",21," bashar al assad",2012-10-01
2012,"November","Arts_Culture",7," a o scott",2012-11-01
2012,"November","Business_Tech",7," barack obama",2012-11-01
2012,"November","OpEd_Opinion",125," barack obama",2012-11-01
2012,"November","World",50," barack obama",2012-11-01
2012,"December","Arts_Culture",7," a o scott",2012-12-01
2012,"December","Business_Tech",5," ben s bernanke",2012-12-01
2012,"December","OpEd_Opinion",62," barack obama",2012-12-01
2012,"December","World",50," bashar al assad",2012-12-01
2013,"January","Arts_Culture",8," a o scott",2013-01-01
2013,"January","Business_Tech",5," barack obama",2013-01-01
2013,"January","OpEd_Opinion",79," barack obama",2013-01-01
2013,"January","World",32," bashar al assad",2013-01-01
2013,"February","Arts_Culture",10," steven spielberg",2013-02-01
2013,"February","Business_Tech",4," ben s bernanke",2013-02-01
2013,"February","OpEd_Opinion",58," barack obama",2013-02-01
2013,"February","World",38,"benedict xvi ",2013-02-01
2013,"March","Arts_Culture",8," a o scott",2013-03-01
2013,"March","Business_Tech",3," andrew mason",2013-03-01
2013,"March","OpEd_Opinion",48," barack obama",2013-03-01
2013,"March","World",38," barack obama",2013-03-01
2013,"April","Arts_Culture",6," a o scott",2013-04-01
2013,"April","Business_Tech",6," christine lagarde",2013-04-01
2013,"April","OpEd_Opinion",42," barack obama",2013-04-01
2013,"April","World",30," bashar al assad",2013-04-01
2013,"May","Arts_Culture",7," david carr",2013-05-01
2013,"May","Business_Tech",7," barack obama",2013-05-01
2013,"May","OpEd_Opinion",56," barack obama",2013-05-01
2013,"May","World",42," barack obama",2013-05-01
2013,"June","Arts_Culture",8," james gandolfini",2013-06-01
2013,"June","Business_Tech",12," ben s bernanke",2013-06-01
2013,"June","OpEd_Opinion",58," barack obama",2013-06-01
2013,"June","World",44," barack obama",2013-06-01
2013,"July","Arts_Culture",6," cory monteith",2013-07-01
2013,"July","Business_Tech",7," ben s bernanke",2013-07-01
2013,"July","OpEd_Opinion",33," barack obama",2013-07-01
2013,"July","World",76," mohamed morsi",2013-07-01
2013,"August","Arts_Culture",7," lorne michaels",2013-08-01
2013,"August","Business_Tech",10," steven a ballmer",2013-08-01
2013,"August","OpEd_Opinion",45," barack obama",2013-08-01
2013,"August","World",50," mohamed morsi",2013-08-01
2013,"September","Arts_Culture",6," justin peck",2013-09-01
2013,"September","Business_Tech",9," barack obama",2013-09-01
2013,"September","OpEd_Opinion",68," barack obama",2013-09-01
2013,"September","World",88," barack obama",2013-09-01
2013,"October","Arts_Culture",9," william shakespeare",2013-10-01
2013,"October","Business_Tech",6," janet l yellen",2013-10-01
2013,"October","OpEd_Opinion",60," barack obama",2013-10-01
2013,"October","World",30," barack obama",2013-10-01
2013,"November","Arts_Culture",9," cornelius gurlitt",2013-11-01
2013,"November","Business_Tech",8," janet l yellen",2013-11-01
2013,"November","OpEd_Opinion",36," barack obama",2013-11-01
2013,"November","World",26," barack obama",2013-11-01
2013,"December","Arts_Culture",8," david o russell",2013-12-01
2013,"December","Business_Tech",5," shinzo abe",2013-12-01
2013,"December","OpEd_Opinion",37," barack obama",2013-12-01
2013,"December","World",76," nelson mandela",2013-12-01
2014,"January","Arts_Culture",13," steve mcqueen",2014-01-01
2014,"January","Business_Tech",9," marissa mayer",2014-01-01
2014,"January","OpEd_Opinion",50," barack obama",2014-01-01
2014,"January","World",31," barack obama",2014-01-01
2014,"February","Arts_Culture",5," sid caesar",2014-02-01
2014,"February","Business_Tech",10," janet l yellen",2014-02-01
2014,"February","OpEd_Opinion",39," barack obama",2014-02-01
