"year","month","date","Arts_Culture","Business_Tech","OpEd_Opinion","World"
2010,"April",2010-04-01," james levine"," barack obama"," barack obama"," barack obama"
2010,"August",2010-08-01," alexei ratmansky"," barack obama"," barack obama"," barack obama"
2010,"December",2010-12-01," david wojnarowicz"," bernard l madoff"," barack obama"," barack obama"
2010,"February",2010-02-01," william kentridge"," barack obama"," barack obama"," barack obama"
2010,"January",2010-01-01," jay leno"," barack obama"," barack obama"," barack obama"
2010,"July",2010-07-01," henri matisse"," barack obama"," barack obama"," barack obama"
2010,"June",2010-06-01," alan gilbert"," barack obama"," barack obama"," barack obama"
2010,"March",2010-03-01," marina abramovic"," barack obama"," barack obama"," barack obama"
2010,"May",2010-05-01," carol vogel"," barack obama"," barack obama"," barack obama"
2010,"November",2010-11-01," annesophie mutter"," ben s bernanke"," barack obama"," barack obama"
2010,"October",2010-10-01," valery gergiev"," barack obama"," barack obama"," barack obama"
2010,"September",2010-09-01," robert lepage"," barack obama"," barack obama"," barack obama"
2011,"April",2011-04-01,"ai weiwei "," barack obama"," barack obama"," muammar el qaddafi"
2011,"August",2011-08-01," kanye west"," steven p jobs"," barack obama"," muammar el qaddafi"
2011,"December",2011-12-01," steven spielberg"," jed s rakoff"," barack obama"," vladimir v putin"
2011,"February",2011-02-01," james franco"," bernard l madoff"," hosni mubarak"," hosni mubarak"
2011,"January",2011-01-01," colin firth"," barack obama"," barack obama"," hosni mubarak"
2011,"July",2011-07-01," amy winehouse"," rupert murdoch"," barack obama"," rupert murdoch"
2011,"June",2011-06-01,"lady gaga "," christine lagarde"," barack obama"," muammar el qaddafi"
2011,"March",2011-03-01," james levine"," barack obama"," barack obama"," muammar el qaddafi"
2011,"May",2011-05-01,"lady gaga "," dominique strausskahn"," barack obama"," osama bin laden"
2011,"November",2011-11-01,"adele  "," michael c woodford"," barack obama"," bashar al assad"
2011,"October",2011-10-01,"adele  "," steven p jobs"," barack obama"," muammar el qaddafi"
2011,"September",2011-09-01," james levine"," barack obama"," barack obama"," muammar el qaddafi"
2012,"April",2012-04-01," william shakespeare"," christine lagarde"," barack obama","bo xilai "
2012,"August",2012-08-01," marvin hamlisch"," angela merkel"," mitt romney"," bashar al assad"
2012,"December",2012-12-01," a o scott"," ben s bernanke"," barack obama"," bashar al assad"
2012,"February",2012-02-01," whitney houston"," barack obama"," barack obama"," bashar al assad"
2012,"January",2012-01-01," george clooney"," angela merkel"," barack obama"," bashar al assad"
2012,"July",2012-07-01," frank ocean"," marissa mayer"," mitt romney"," bashar al assad"
2012,"June",2012-06-01," a o scott"," angela merkel"," barack obama"," bashar al assad"
2012,"March",2012-03-01," paul taylor"," ben s bernanke"," barack obama"," bashar al assad"
2012,"May",2012-05-01," donna summer"," mark e zuckerberg"," barack obama"," barack obama"
2012,"November",2012-11-01," a o scott"," barack obama"," barack obama"," barack obama"
2012,"October",2012-10-01," pablo picasso"," mitt romney"," mitt romney"," bashar al assad"
2012,"September",2012-09-01," philip glass"," barack obama"," mitt romney"," barack obama"
2013,"April",2013-04-01," a o scott"," christine lagarde"," barack obama"," bashar al assad"
2013,"August",2013-08-01," lorne michaels"," steven a ballmer"," barack obama"," mohamed morsi"
2013,"December",2013-12-01," david o russell"," shinzo abe"," barack obama"," nelson mandela"
2013,"February",2013-02-01," steven spielberg"," ben s bernanke"," barack obama","benedict xvi "
2013,"January",2013-01-01," a o scott"," barack obama"," barack obama"," bashar al assad"
2013,"July",2013-07-01," cory monteith"," ben s bernanke"," barack obama"," mohamed morsi"
2013,"June",2013-06-01," james gandolfini"," ben s bernanke"," barack obama"," barack obama"
2013,"March",2013-03-01," a o scott"," andrew mason"," barack obama"," barack obama"
2013,"May",2013-05-01," david carr"," barack obama"," barack obama"," barack obama"
